Project,Sentiment,Word Count,Sentence Count,Sentiment,Topics,Keywords
kadaif,0.2198347107438016,363,56,0.2198347107438016,"(['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['br', 'kadaif', 'qt', 'https', 'code', 'install', 'want', 'use', 'qt6', 'em'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'])",{}
kadaif,0.0,111,1,0.0,"(['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['br', 'kadaif', 'qt', 'https', 'code', 'install', 'want', 'use', 'qt6', 'em'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'])","{'C++': ['public', 'private']}"
kadaif,-0.0396853146853147,422,53,-0.0396853146853147,"(['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['br', 'kadaif', 'qt', 'https', 'code', 'install', 'want', 'use', 'qt6', 'em'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'])",{}
kadaif,0.0,46,0,0.0,"(['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['br', 'kadaif', 'qt', 'https', 'code', 'install', 'want', 'use', 'qt6', 'em'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'])",{}
kadaif,0.0,34,6,0.0,"(['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['br', 'kadaif', 'qt', 'https', 'code', 'install', 'want', 'use', 'qt6', 'em'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'])",{}
kadaif,0.0364058061079545,1033,96,0.0364058061079545,"(['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['br', 'kadaif', 'qt', 'https', 'code', 'install', 'want', 'use', 'qt6', 'em'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'])",{'C++': ['new']}
kadaif,0.0,95,2,0.0,"(['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['br', 'kadaif', 'qt', 'https', 'code', 'install', 'want', 'use', 'qt6', 'em'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'])",{'C++': ['private']}
kadaif,0.0,95,14,0.0,"(['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['br', 'kadaif', 'qt', 'https', 'code', 'install', 'want', 'use', 'qt6', 'em'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'])",{}
kadaif,0.0,19,0,0.0,"(['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['br', 'kadaif', 'qt', 'https', 'code', 'install', 'want', 'use', 'qt6', 'em'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'])",{}
optimetable,-0.3472222222222222,137,17,-0.3472222222222222,"(['valid', 'using', 'university', 'times', 'subject', 'thing', 'spend', 'solution', 'seperate', 'single'], ['valid', 'using', 'university', 'times', 'subject', 'thing', 'spend', 'solution', 'seperate', 'single'], ['valid', 'using', 'university', 'times', 'subject', 'thing', 'spend', 'solution', 'seperate', 'single'], ['valid', 'using', 'university', 'times', 'subject', 'thing', 'spend', 'solution', 'seperate', 'single'], ['possible', 'time', 'program', 'little', 'timetable', 'using', 'thing', 'valid', 'university', 'times'], ['valid', 'using', 'university', 'times', 'subject', 'thing', 'spend', 'solution', 'seperate', 'single'], ['valid', 'using', 'university', 'times', 'subject', 'thing', 'spend', 'solution', 'seperate', 'single'], ['valid', 'using', 'university', 'times', 'subject', 'thing', 'spend', 'solution', 'seperate', 'single'], ['valid', 'using', 'university', 'times', 'subject', 'thing', 'spend', 'solution', 'seperate', 'single'], ['valid', 'using', 'university', 'times', 'subject', 'thing', 'spend', 'solution', 'seperate', 'single'])",{}
optimetable,0.1985677083333333,482,54,0.1985677083333333,"(['valid', 'using', 'university', 'times', 'subject', 'thing', 'spend', 'solution', 'seperate', 'single'], ['valid', 'using', 'university', 'times', 'subject', 'thing', 'spend', 'solution', 'seperate', 'single'], ['valid', 'using', 'university', 'times', 'subject', 'thing', 'spend', 'solution', 'seperate', 'single'], ['valid', 'using', 'university', 'times', 'subject', 'thing', 'spend', 'solution', 'seperate', 'single'], ['possible', 'time', 'program', 'little', 'timetable', 'using', 'thing', 'valid', 'university', 'times'], ['valid', 'using', 'university', 'times', 'subject', 'thing', 'spend', 'solution', 'seperate', 'single'], ['valid', 'using', 'university', 'times', 'subject', 'thing', 'spend', 'solution', 'seperate', 'single'], ['valid', 'using', 'university', 'times', 'subject', 'thing', 'spend', 'solution', 'seperate', 'single'], ['valid', 'using', 'university', 'times', 'subject', 'thing', 'spend', 'solution', 'seperate', 'single'], ['valid', 'using', 'university', 'times', 'subject', 'thing', 'spend', 'solution', 'seperate', 'single'])",{}
