repo_name,languages,word_count,sentence_count,sentiment,topics,keywords
ocr-expense-tracker,"{'TypeScript': 84388, 'JavaScript': 21412, 'HTML': 365, 'CSS': 59}",61,16,-0.6125,,"{'TypeScript': ['import', 'react', 'export'], 'JavaScript': ['import', 'react', 'export']}"
ocr-expense-tracker,"{'TypeScript': 84388, 'JavaScript': 21412, 'HTML': 365, 'CSS': 59}",30,3,0.0,,"{'TypeScript': ['type'], 'JavaScript': []}"
ocr-expense-tracker,"{'TypeScript': 84388, 'JavaScript': 21412, 'HTML': 365, 'CSS': 59}",77,48,-0.38,,"{'TypeScript': ['react'], 'JavaScript': ['react']}"
ocr-expense-tracker,"{'TypeScript': 84388, 'JavaScript': 21412, 'HTML': 365, 'CSS': 59}",11,0,-0.75,,"{'TypeScript': ['export'], 'JavaScript': ['tailwindcss', 'export', 'default']}"
ocr-expense-tracker,"{'TypeScript': 84388, 'JavaScript': 21412, 'HTML': 365, 'CSS': 59}",109,10,-0.6180555555555556,,"{'TypeScript': ['react', 'import', 'const'], 'JavaScript': ['react', 'import', 'const', 'axios']}"
ocr-expense-tracker,"{'TypeScript': 84388, 'JavaScript': 21412, 'HTML': 365, 'CSS': 59}",186,8,-0.3611111111111111,,"{'TypeScript': [], 'JavaScript': []}"
ocr-expense-tracker,"{'TypeScript': 84388, 'JavaScript': 21412, 'HTML': 365, 'CSS': 59}",29,3,-0.75,,"{'TypeScript': [], 'JavaScript': ['return']}"
ocr-expense-tracker,"{'TypeScript': 84388, 'JavaScript': 21412, 'HTML': 365, 'CSS': 59}",101,2,-0.22499999999999998,,"{'TypeScript': ['react', 'type', 'import'], 'JavaScript': ['react', 'import']}"
ocr-expense-tracker,"{'TypeScript': 84388, 'JavaScript': 21412, 'HTML': 365, 'CSS': 59}",547,73,-0.2391666666666667,,"{'TypeScript': ['const', 'type'], 'JavaScript': ['const']}"
ocr-expense-tracker,"{'TypeScript': 84388, 'JavaScript': 21412, 'HTML': 365, 'CSS': 59}",374,50,-0.12499999999999999,,"{'TypeScript': ['const', 'type'], 'JavaScript': ['const']}"
ocr-expense-tracker,"{'TypeScript': 84388, 'JavaScript': 21412, 'HTML': 365, 'CSS': 59}",423,60,-0.23854166666666668,,"{'TypeScript': ['const', 'type'], 'JavaScript': ['const']}"
ocr-expense-tracker,"{'TypeScript': 84388, 'JavaScript': 21412, 'HTML': 365, 'CSS': 59}",575,69,-0.2792566287878788,,"{'TypeScript': ['const', 'import'], 'JavaScript': ['const', 'usestate', 'import']}"
ocr-expense-tracker,"{'TypeScript': 84388, 'JavaScript': 21412, 'HTML': 365, 'CSS': 59}",404,52,-0.1063311688311688,,"{'TypeScript': ['const', 'type'], 'JavaScript': ['const']}"
